"","Player","Pos","Age","Tm","G","GS","FG","FGA","FG.","eFG.","FT","FTA","FT.","AST","STL","BLK","TOV","PS.G","tG","tGS","tFG","tFGA","tFG.","teFG.","tFT","tFTA","tFT.","tAST","tTOV","tPTS","aG","aTS.","aAST.","aTOV.","aUSG.","aVORP","GP","W","L","Min","PassesMade","PassesReceived","Ast","FTAst","SecondaryAst","PotentialAst","AstPtsCreated","AstAdj","AstToPassRatio","AstToPassRatioAdj","PSR"
"49","Joel Embiid","C",22,"PHI",19,19,6.1,13.2,0.464,0.51,4.5,6.1,0.741,1.8,0.7,2.4,3.5,17.9,19,19,116,250,0.464,0.51,86,116,0.741,34,67,341,19,0.566,14.8,18.2,35.4,0.5,19,5,14,461,754,803,34,5,11,75,89,50,4.5,6.6,2.28
"50","Dante Exum","PG",21,"UTA",28,16,2.4,5.9,0.409,0.473,0.9,1.1,0.833,1.7,0.2,0.3,1.1,6.4,28,16,67,164,0.409,0.473,25,30,0.833,47,31,180,28,0.508,12.7,14.9,17.1,0,27,16,11,568,708,789,44,12,10,87,107,65,6.2,9.2,3.87
"51","Kenneth Faried","PF",27,"DEN",28,14,3.5,6.6,0.535,0.535,2.5,3.6,0.693,0.8,0.9,1,1.2,9.6,28,14,99,185,0.535,0.535,70,101,0.693,23,34,268,28,0.584,5.6,12.9,17.6,0.6,28,12,16,629,703,433,23,3,14,50,59,40,3.3,5.7,2.91
"52","Dorian Finney-Smith","PF",23,"DAL",28,21,2,4.6,0.423,0.527,0.6,0.8,0.783,1,0.5,0.4,0.7,5.5,28,21,55,130,0.423,0.527,18,23,0.783,27,19,155,28,0.553,6.8,11.9,12.1,0.2,28,8,20,625,566,488,27,6,6,58,74,39,4.8,6.9,3.96
"53","Evan Fournier","SG",24,"ORL",31,31,6.3,13.9,0.455,0.521,3.4,4,0.846,3.5,1,0.1,2,17.8,31,31,196,431,0.455,0.521,104,123,0.846,108,63,553,31,0.57,18,11.5,23.7,0.5,31,13,18,1035,927,1238,108,13,22,215,248,142,11.7,15.3,2.12
"54","Tim Frazier","PG",26,"NOP",30,23,3.9,8.9,0.434,0.489,2.1,2.6,0.821,7.3,1.1,0.2,2.4,10.8,30,23,116,267,0.434,0.489,64,78,0.821,220,73,325,30,0.539,36.7,19.5,18.1,0.3,30,9,21,912,1839,1933,220,13,35,421,497,268,12,14.6,6.13
"55","Danilo Gallinari","SF",28,"DEN",26,26,4.7,11.3,0.412,0.493,5.3,6,0.873,2.2,0.7,0.3,1.4,16.4,26,26,121,294,0.412,0.493,137,157,0.873,57,36,427,26,0.588,9.4,9,18.7,0.5,26,11,15,896,846,863,57,3,15,107,127,75,6.7,8.9,2.43
"56","Langston Galloway","PG",25,"NOP",30,0,3.5,9.1,0.388,0.491,0.7,0.9,0.741,1.5,1,0,0.7,9.6,30,0,106,273,0.388,0.491,20,27,0.741,45,21,288,30,0.505,11.5,6.9,21.3,0.2,30,9,21,634,679,823,45,5,11,98,102,61,6.6,9,2.58
"57","Marc Gasol","C",32,"MEM",29,29,7.4,16.3,0.455,0.503,3.7,4.6,0.818,4.1,0.9,1.5,2,20.1,29,29,215,473,0.455,0.503,108,132,0.818,120,59,584,29,0.55,24.7,10,27.1,1.9,28,19,9,949,1405,1586,116,14,19,246,294,150,8.3,10.7,2.83
"58","Pau Gasol","C",36,"SAS",28,28,5,10,0.505,0.534,1.5,2.3,0.646,2.7,0.4,1.2,1.3,12.1,28,28,141,279,0.505,0.534,42,65,0.646,76,36,340,28,0.553,16.9,10.5,21.1,1,28,22,6,743,1257,991,76,7,9,129,175,92,6,7.3,4.06
"59","Rudy Gay","SF",30,"SAC",23,23,6.7,14.6,0.455,0.499,4,4.7,0.844,3,1.6,0.7,2.2,18.6,23,23,153,336,0.455,0.499,92,109,0.844,68,51,427,23,0.556,15.5,11.7,25.2,0.7,23,9,14,771,780,832,68,3,13,126,155,84,8.7,10.8,2.11
