Player,Tm,GP,W,L,Min,PassesMade,PassesReceived,Ast,FTAst,SecondaryAst,PotentialAst,AstPtsCreated,AstAdj,AstToPassRatio,AstToPassRatioAdj
Demetrius Jackson,BOS,4,1,3,17,18,22,3,0,0,4,4,3,16.7,16.7
Malachi Richardson,SAC,4,1,3,22,18,21,2,0,0,2,4,2,11.1,11.1
Bruno Caboclo,TOR,4,4,0,16,17,12,3,0,0,3,7,3,17.6,17.6
Jordan Hill,MIN,3,1,2,16,16,9,0,0,0,0,0,0,0,0
John Lucas III,MIN,5,3,2,11,13,15,1,0,0,3,2,1,7.7,7.7
Ian Mahinmi,WAS,1,0,1,14,11,11,0,0,0,0,0,0,0,0
Diamond Stone,LAC,4,4,0,16,10,12,0,0,0,0,0,0,0,0
John Jenkins,PHX,4,0,4,13,9,11,1,1,0,1,2,2,11.1,22.2
Rakeem Christmas,IND,3,0,3,14,8,6,1,0,0,1,2,1,12.5,12.5
Georgios Papagiannis,SAC,1,0,1,6,8,6,0,0,0,1,0,0,0,0
RJ Hunter,CHI,3,2,1,9,8,7,0,0,0,1,0,0,0,0
Steve Novak,MIL,4,3,1,11,7,6,0,0,0,0,0,0,0,0
Christian Wood,CHA,1,1,0,3,5,2,0,0,0,0,0,0,0,0
Derrick Jones, Jr.,PHX,2,0,2,6,4,5,0,0,0,0,0,0,0,0
Jarnell Stokes,DEN,2,0,2,7,4,3,2,0,0,2,6,2,50,50
Damian Jones,GSW,1,0,1,9,4,4,0,0,0,0,0,0,0,0
Edy Tavares,ATL,1,1,0,4,3,2,0,0,1,0,0,1,0,33.3
Danuel House,WAS,1,0,1,1,1,0,0,0,0,0,0,0,0,0
