Player,useless,Tm,tG,tGS,tFG,tFGA,tFG%,teFG%,tFT,tFTA,tFT%,tAST,tTOV,tPTS
Harrison Barnes,barneha02,DAL,29,29,238,513,.464,.491,89,103,.864,37,39,593
Matt Barnes,barnema02,SAC,27,6,66,185,.357,.441,24,36,.667,68,41,187
Will Barton,bartowi01,DEN,17,13,86,196,.439,.497,48,66,.727,40,32,243
Brandon Bass,bassbr01,LAC,15,0,23,43,.535,.547,8,8,1.000,8,5,55
Nicolas Batum,batumni01,CHO,28,28,130,334,.389,.466,82,102,.804,157,69,393
Jerryd Bayless,bayleje01,PHI,3,1,11,32,.344,.375,9,10,.900,13,9,33
Aron Baynes,baynear01,DET,31,1,47,107,.439,.439,40,45,.889,10,28,134
Kent Bazemore,bazemke01,ATL,27,24,106,288,.368,.418,44,63,.698,70,45,285
Bradley Beal,bealbr01,WAS,25,25,196,431,.455,.537,104,129,.806,88,42,567
Malik Beasley,beaslma01,DEN,9,0,9,29,.310,.379,4,6,.667,3,0,26
Michael Beasley,beaslmi01,MIL,23,0,79,151,.523,.546,25,36,.694,19,28,190
Marco Belinelli,belinma01,CHO,29,0,117,255,.459,.563,44,51,.863,52,23,331
DeAndre' Bembry,bembrde01,ATL,9,0,4,14,.286,.286,1,2,.500,2,4,9
Dragan Bender,bendedr01,PHO,23,0,23,64,.359,.461,0,3,.000,7,13,59
Anthony Bennett,bennean01,BRK,21,1,32,82,.390,.463,23,32,.719,11,12,99
Davis Bertans,bertada01,SAS,23,1,23,57,.404,.544,7,9,.778,13,8,69
Patrick Beverley,beverpa01,HOU,19,19,62,143,.434,.531,10,14,.714,91,29,162
Bismack Biyombo,biyombi01,ORL,30,15,66,133,.496,.496,54,112,.482,36,41,186
Nemanja Bjelica,bjeline01,MIN,26,1,59,144,.410,.514,18,24,.750,30,24,166
Tarik Black,blackta01,LAL,24,0,51,102,.500,.500,33,42,.786,14,17,135
Eric Bledsoe,bledser01,PHO,29,29,199,448,.444,.489,138,168,.821,154,86,576
Bojan Bogdanovic,bogdabo02,BRK,28,28,140,314,.446,.522,83,98,.847,40,39,411
Andrew Bogut,bogutan01,DAL,16,16,29,61,.475,.475,3,11,.273,35,28,61
Joel Bolomboy,bolomjo01,UTA,9,0,3,5,.600,.600,2,4,.500,1,1,8
Devin Booker,bookede01,PHO,28,28,197,478,.412,.460,96,119,.807,86,73,536
Trevor Booker,booketr01,BRK,27,27,111,214,.519,.535,36,53,.679,63,53,265
Avery Bradley,bradlav01,BOS,29,29,209,434,.482,.552,39,50,.780,71,53,518
Corey Brewer,breweco01,HOU,30,3,41,103,.398,.442,14,22,.636,29,16,105
Malcolm Brogdon,brogdma01,MIL,27,0,77,184,.418,.486,28,33,.848,84,36,207
Aaron Brooks,brookaa01,IND,28,0,55,144,.382,.444,17,19,.895,63,34,145
Anthony Brown,brownan02,NOP,9,0,14,41,.341,.415,0,0,,6,5,34
Bobby Brown,brownbo02,HOU,6,0,1,12,.083,.083,0,0,,0,1,2
Jaylen Brown,brownja02,BOS,29,3,58,134,.433,.478,23,37,.622,16,19,151
Nicolas Brussino,brussni01,DAL,22,0,11,31,.355,.452,6,7,.857,18,7,34
Reggie Bullock,bullore01,DET,4,0,7,16,.438,.500,0,0,,1,1,16
Trey Burke,burketr01,WAS,24,0,49,107,.458,.505,9,15,.600,31,15,117
Jimmy Butler,butleji01,CHI,28,28,209,462,.452,.486,234,263,.890,120,58,683
Bruno Caboclo,cabocbr01,TOR,5,0,1,4,.250,.375,0,0,,3,2,3
Jose Calderon,caldejo01,LAL,14,9,26,54,.481,.574,4,4,1.000,36,22,66
Kentavious Caldwell-Pope,caldwke01,DET,30,30,154,375,.411,.493,57,69,.826,88,34,427
Isaiah Canaan,canaais01,CHI,25,0,56,149,.376,.446,22,25,.880,28,17,155
Clint Capela,capelca01,HOU,28,28,151,236,.640,.640,29,65,.446,26,37,331
DeMarre Carroll,carrode01,TOR,23,23,83,187,.444,.551,28,40,.700,23,11,234
Vince Carter,cartevi01,MEM,24,0,68,177,.384,.472,28,38,.737,43,18,195
Michael Carter-Williams,cartemi01,CHI,3,0,4,15,.267,.300,3,4,.750,8,6,12
Omri Casspi,casspom01,SAC,16,2,47,99,.475,.525,9,15,.600,22,16,113
Willie Cauley-Stein,caulewi01,SAC,25,0,56,99,.566,.566,14,29,.483,9,14,126
Tyson Chandler,chandty01,PHO,21,20,64,91,.703,.703,30,45,.667,11,36,158
Wilson Chandler,chandwi01,DEN,26,6,171,383,.446,.500,55,74,.743,49,40,438
Marquese Chriss,chrisma01,PHO,29,22,75,180,.417,.467,30,47,.638,15,35,198
Rakeem Christmas,chrisra01,IND,3,0,1,4,.250,.250,1,1,1.000,1,0,3
Semaj Christon,chrisse01,OKC,28,0,37,115,.322,.343,9,17,.529,70,18,88
Ian Clark,clarkia01,GSW,27,0,78,149,.523,.614,14,20,.700,33,13,197
Jordan Clarkson,clarkjo01,LAL,32,3,183,418,.438,.488,56,67,.836,74,63,464
Darren Collison,collida01,SAC,21,17,93,207,.449,.500,56,68,.824,91,40,263
Nick Collison,collini01,OKC,9,0,4,7,.571,.571,1,2,.500,7,1,9
Mike Conley,conlemi01,MEM,21,20,117,283,.413,.500,93,107,.869,119,47,376
Pat Connaughton,connapa01,POR,12,0,8,11,.727,.773,4,6,.667,4,0,21
DeMarcus Cousins,couside01,SAC,28,28,275,607,.453,.493,212,276,.768,92,83,811
Robert Covington,covinro01,PHI,25,25,85,241,.353,.446,35,45,.778,31,44,250
Allen Crabbe,crabbal01,POR,31,1,105,236,.445,.544,47,55,.855,37,27,304
Jamal Crawford,crawfja01,LAC,30,0,127,304,.418,.482,59,67,.881,63,43,352
Jae Crowder,crowdja01,BOS,21,21,98,205,.478,.588,40,45,.889,50,28,281
Dante Cunningham,cunnida01,NOP,18,10,38,96,.396,.500,3,7,.429,10,11,99
Seth Curry,curryse01,DAL,25,6,100,230,.435,.520,16,22,.727,69,32,255
Stephen Curry,curryst01,GSW,30,30,239,511,.468,.578,141,151,.934,176,82,732
Troy Daniels,danietr01,MEM,20,3,68,180,.378,.492,22,26,.846,17,14,199
Anthony Davis,davisan02,NOP,29,29,308,628,.490,.504,230,285,.807,63,71,863
Deyonta Davis,davisde01,MEM,21,0,20,34,.588,.588,6,11,.545,2,8,46
Ed Davis,davised01,POR,31,11,48,96,.500,.500,37,55,.673,18,27,133
Dewayne Dedmon,dedmode01,SAS,23,1,44,78,.564,.564,17,25,.680,9,12,105
Sam Dekker,dekkesa01,HOU,30,0,83,168,.494,.565,17,29,.586,35,23,207
Malcolm Delaney,delanma01,ATL,29,0,58,153,.379,.402,37,42,.881,80,42,160
Matthew Dellavedova,dellama01,MIL,27,27,81,210,.386,.455,20,24,.833,151,52,211
Luol Deng,denglu01,LAL,32,32,102,259,.394,.458,23,35,.657,47,26,260
DeMar DeRozan,derozde01,TOR,28,28,280,581,.482,.493,208,245,.849,114,73,781
Cheick Diallo,diallch01,NOP,6,0,16,29,.552,.552,7,10,.700,2,2,39
Boris Diaw,diawbo01,UTA,21,18,44,96,.458,.500,8,9,.889,54,34,104
Gorgui Dieng,dienggo01,MIN,28,28,121,233,.519,.528,44,60,.733,60,51,290
Spencer Dinwiddie,dinwisp01,BRK,6,0,7,19,.368,.368,6,7,.857,6,8,20
Toney Douglas,douglto01,MEM,6,0,14,36,.389,.431,4,5,.800,16,5,35
Goran Dragic,dragigo01,MIA,25,25,173,384,.451,.503,93,116,.802,167,80,479
Andre Drummond,drumman01,DET,30,30,180,340,.529,.531,59,125,.472,33,59,420
Jared Dudley,dudleja01,PHO,28,7,84,170,.494,.624,23,37,.622,49,37,235
Mike Dunleavy,dunlemi02,CLE,20,2,28,77,.364,.474,13,17,.765,18,10,86
Kris Dunn,dunnkr01,MIN,28,5,46,118,.390,.424,23,35,.657,68,36,123
Kevin Durant,duranke01,GSW,30,30,271,507,.535,.589,173,200,.865,139,64,770
Henry Ellenson,ellenhe01,DET,8,0,4,11,.364,.500,0,0,,1,2,11
Wayne Ellington,ellinwa01,MIA,11,8,54,123,.439,.545,8,10,.800,22,5,142
Monta Ellis,ellismo01,IND,24,23,88,203,.433,.470,42,50,.840,89,56,233
Joel Embiid,embiijo01,PHI,19,19,116,250,.464,.510,86,116,.741,34,67,341
James Ennis,ennisja01,MEM,17,14,47,106,.443,.514,33,41,.805,21,15,142
Tyler Ennis,ennisty01,HOU,17,0,17,43,.395,.442,1,2,.500,24,15,39
Tyreke Evans,evansty01,NOP,3,0,6,18,.333,.389,3,3,1.000,8,4,17
Dante Exum,exumda01,UTA,28,16,67,164,.409,.473,25,30,.833,47,31,180
Kenneth Faried,farieke01,DEN,28,14,99,185,.535,.535,70,101,.693,23,34,268
Jordan Farmar,farmajo01,SAC,2,0,4,12,.333,.500,0,0,,9,3,12
Derrick Favors,favorde01,UTA,15,9,53,114,.465,.469,28,44,.636,7,16,135
Kay Felder,feldeka01,CLE,12,0,16,41,.390,.415,12,16,.750,21,9,46
Cristiano Felicio,feliccr01,CHI,20,0,29,60,.483,.483,11,17,.647,10,7,69
Raymond Felton,feltora01,LAC,28,1,63,139,.453,.518,11,14,.786,40,21,155
Yogi Ferrell,ferreyo01,BRK,10,0,18,49,.367,.449,10,16,.625,17,14,54
Dorian Finney-Smith,finnedo01,DAL,28,21,55,130,.423,.527,18,23,.783,27,19,155
Bryn Forbes,forbebr01,SAS,12,0,4,14,.286,.321,1,1,1.000,1,0,10
Evan Fournier,fournev01,ORL,31,31,196,431,.455,.521,104,123,.846,108,63,553
Randy Foye,foyera01,BRK,18,1,29,83,.349,.458,11,13,.846,34,24,87
Tim Frazier,fraziti01,NOP,30,23,116,267,.434,.489,64,78,.821,220,73,325
