Player,usless,Tm,aG,aTS%,aAST%,aTOV%,aUSG%,aVORP
Thon Maker,makerth01,MIL,10,.649,0.0,6.1,19.7,-0.1
Boban Marjanovic,marjabo01,DET,12,.389,2.6,2.7,27.1,-0.1
Jarell Martin,martija01,MEM,30,.485,2.2,15.1,17.2,-0.5
Wesley Matthews,matthwe02,DAL,28,.537,10.7,10.0,21.3,0.5
Luc Mbah a Moute,mbahalu01,LAC,28,.604,2.0,12.0,11.7,0.7
James Michael McAdoo,mcadoja01,GSW,14,.383,4.5,15.3,13.5,-0.1
Patrick McCaw,mccawpa01,GSW,25,.496,10.1,16.7,12.1,0.0
Sheldon McClellan,mcclesh01,WAS,8,.560,6.0,2.8,16.2,0.0
C.J. McCollum,mccolcj01,POR,31,.589,17.9,10.3,26.5,0.7
T.J. McConnell,mccontj01,PHI,28,.474,37.6,26.4,13.6,-0.1
Chris McCullough,mcculch01,BRK,9,.491,3.7,7.6,22.7,-0.1
K.J. McDaniels,mcdankj01,HOU,17,.539,1.7,12.6,16.0,-0.1
Doug McDermott,mcderdo01,CHI,16,.549,7.9,7.8,16.8,-0.1
JaVale McGee,mcgeeja01,GSW,26,.601,6.0,13.1,27.1,0.0
Rodney McGruder,mcgruro01,MIA,27,.492,7.5,11.3,11.9,0.3
Ben McLemore,mclembe01,SAC,23,.509,6.2,11.9,18.4,-0.3
Jordan McRae,mcraejo01,CLE,17,.393,8.4,7.1,23.3,-0.3
Josh McRoberts,mcrobjo01,MIA,21,.441,19.7,15.1,16.9,0.0
Jodie Meeks,meeksjo01,ORL,11,.529,10.5,4.9,19.0,0.1
Salah Mejri,mejrisa01,DAL,25,.642,3.5,21.8,9.2,0.3
Jordan Mickey,mickejo01,BOS,9,.495,6.8,15.3,17.2,-0.1
C.J. Miles,milescj01,IND,25,.610,4.8,5.2,19.6,0.4
Mike Miller,millemi01,DEN,4,1.125,37.2,20.0,12.4,0.0
Patty Mills,millspa02,SAS,29,.627,24.3,13.0,20.1,0.8
Paul Millsap,millspa01,ATL,26,.551,18.3,12.3,23.6,1.2
Nikola Mirotic,mirotni01,CHI,26,.517,6.5,12.1,19.0,0.2
Greg Monroe,monrogr01,MIL,26,.558,18.3,14.7,22.5,0.7
E'Twaun Moore,mooreet01,NOP,27,.517,18.1,10.3,19.1,0.0
Marcus Morris,morrima03,DET,31,.516,8.5,8.4,20.2,0.5
Markieff Morris,morrima02,WAS,27,.499,8.6,12.9,20.3,0.0
Anthony Morrow,morroan01,OKC,23,.521,5.3,3.5,15.8,-0.2
Timofey Mozgov,mozgoti01,LAL,31,.564,6.3,16.0,17.0,-0.1
Emmanuel Mudiay,mudiaem01,DEN,28,.468,19.4,17.1,23.5,-0.4
Shabazz Muhammad,muhamsh01,MIN,25,.493,4.4,8.8,19.0,-0.4
Dejounte Murray,murrade01,SAS,12,.385,21.6,25.5,26.5,-0.1
Jamal Murray,murraja01,DEN,29,.499,14.2,13.0,20.6,-0.1
Mike Muscala,muscami01,ATL,29,.623,11.3,14.2,15.7,0.5
Larry Nance Jr.,nancela02,LAL,28,.606,8.8,12.0,12.4,0.6
Shabazz Napier,napiesh01,POR,19,.513,22.2,11.9,22.2,0.0
Maurice Ndour,ndourma01,NYK,13,.527,1.4,6.4,13.6,0.0
Jameer Nelson,nelsoja01,DEN,29,.525,25.0,18.6,17.3,-0.1
Raul Neto,netora01,UTA,14,.591,17.8,16.5,21.7,0.0
Georges Niang,niangge01,IND,14,.197,8.9,15.2,19.3,-0.2
Andrew Nicholson,nichoan01,WAS,20,.459,4.7,13.1,17.9,-0.2
Joakim Noah,noahjo01,NYK,25,.463,16.1,19.6,12.6,0.6
Nerlens Noel,noelne01,PHI,3,.589,0.0,0.0,21.1,0.0
Lucas Nogueira,noguelu01,TOR,21,.748,5.5,16.9,9.4,1.0
Steve Novak,novakst01,MIL,4,.000,0.0,0.0,12.1,0.0
Dirk Nowitzki,nowitdi01,DAL,5,.435,9.9,6.7,27.1,-0.1
Jusuf Nurkic,nurkiju01,DEN,27,.530,11.2,20.7,23.2,0.2
Kyle O'Quinn,oquinky01,NYK,28,.578,11.9,14.2,18.1,0.6
Daniel Ochefu,ochefda01,WAS,6,.200,5.5,28.6,13.4,-0.1
Jahlil Okafor,okafoja01,PHI,24,.535,8.3,11.8,23.1,-0.1
Victor Oladipo,oladivi01,OKC,24,.542,12.7,10.6,20.7,0.1
Kelly Olynyk,olynyke01,BOS,23,.558,11.9,15.1,18.4,0.2
Arinze Onuaku,onuakar01,ORL,5,.333,0.0,0.0,6.7,0.0
Kelly Oubre,oubreke01,WAS,26,.524,4.3,9.0,15.0,-0.1
Zaza Pachulia,pachuza01,GSW,26,.562,16.3,24.5,13.2,0.6
Georgios Papagiannis,papagge01,SAC,1,1.000,0.0,50.0,14.9,0.0
Jabari Parker,parkeja01,MIL,27,.556,11.5,7.0,26.4,0.5
Tony Parker,parketo01,SAS,21,.500,26.7,13.0,19.8,-0.2
Chandler Parsons,parsoch01,MEM,7,.447,8.6,13.0,19.8,-0.1
Patrick Patterson,pattepa01,TOR,27,.513,8.0,7.9,12.4,0.9
Chris Paul,paulch01,LAC,30,.603,48.4,13.6,23.9,2.9
Adreian Payne,paynead01,MIN,9,.550,6.1,13.8,26.4,0.0
Elfrid Payton,paytoel01,ORL,31,.497,32.0,15.0,20.8,0.5
Paul Pierce,piercpa01,LAC,9,.508,2.5,13.7,14.9,-0.1
Marshall Plumlee,plumlma02,NYK,3,.862,4.7,0.0,3.7,0.0
Mason Plumlee,plumlma01,POR,31,.563,23.9,14.7,17.9,1.0
Miles Plumlee,plumlmi01,MIL,20,.523,10.2,25.1,13.9,0.0
Jakob Poeltl,poeltja01,TOR,15,.445,3.2,9.0,12.0,0.1
Otto Porter,porteot01,WAS,28,.619,6.3,7.1,15.1,1.3
Bobby Portis,portibo01,CHI,21,.519,8.9,14.0,16.8,0.0
Kristaps Porzingis,porzikr01,NYK,29,.557,6.3,8.0,24.3,0.7
Dwight Powell,poweldw01,DAL,29,.566,7.2,6.8,15.9,0.7
